order_id,customer_id,captain_id,restaurant_id,district,order_time,delivery_time_min,prep_time_min,weather,traffic_level,order_value_sar,status,hour_of_day,day_of_week,is_peak_hour,is_delayed
ORD000063,CUST04975,CAP166,REST070,الياسمين,2025-05-17 19:35:00,53,23,حار جداً,متوسط,162.27,delayed,19,Saturday,1,1
ORD000064,CUST04056,CAP085,REST068,الملقا,2025-01-02 16:25:00,40,29,بارد,خفيف,254.69,cancelled,16,Thursday,0,0
ORD000065,CUST02783,CAP060,REST052,العليا,2025-06-03 08:55:00,29,12,غائم,متوسط,144.25,delivered,8,Tuesday,0,0
ORD000066,CUST03083,CAP137,REST038,المروج,2025-11-20 20:51:00,53,19,عاصف,خفيف,247.29,delayed,20,Thursday,1,1
ORD000067,CUST02392,CAP167,REST022,الملقا,2026-03-19 15:17:00,54,29,حار جداً,شديد الكثافة,261.46,delayed,15,Thursday,0,1
ORD000068,CUST03770,CAP150,REST058,الربوة,2025-05-21 12:07:00,46,12,صافي,شديد الكثافة,108.25,delivered,12,Wednesday,1,0
ORD000069,CUST04404,CAP033,REST065,السليمانية,2026-04-09 12:39:00,48,24,غائم,خفيف,272.56,delivered,12,Thursday,1,0
ORD000070,CUST03459,CAP147,REST039,السليمانية,2025-12-07 07:55:00,31,6,عاصف,متوسط,83.55,delivered,7,Sunday,0,0
ORD000071,CUST02202,CAP062,REST043,حطين,2025-08-06 17:04:00,66,31,حار جداً,متوسط,331.3,delayed,17,Wednesday,0,1
ORD000072,CUST04248,CAP028,REST014,الورود,2025-07-25 18:09:00,61,35,بارد,خفيف,215.31,delayed,18,Friday,0,1
ORD000073,CUST00374,CAP134,REST064,حطين,2025-05-02 07:29:00,55,27,صافي,متوسط,143.21,delayed,7,Friday,0,1
ORD000074,CUST00857,CAP045,REST057,المروج,2025-10-11 23:57:00,50,31,غائم,متوسط,51.2,delivered,23,Saturday,0,0
ORD000075,CUST04257,CAP001,REST044,العليا,2025-11-06 12:04:00,37,10,بارد,كثيف,110.9,delivered,12,Thursday,1,0
ORD000076,CUST04179,CAP148,REST035,النخيل,2025-09-08 11:00:00,63,20,غائم,شديد الكثافة,171.69,delayed,11,Monday,0,1
ORD000077,CUST01552,CAP028,REST036,الياسمين,2025-03-16 12:24:00,69,27,صافي,خفيف,43.76,delayed,12,Sunday,1,1
ORD000078,CUST00868,CAP082,REST016,الورود,2025-05-21 22:32:00,51,26,غائم,متوسط,203.12,delayed,22,Wednesday,0,1
ORD000079,CUST00519,CAP054,REST077,العليا,2026-03-31 15:36:00,66,16,عاصف,شديد الكثافة,280.39,delayed,15,Tuesday,0,1
ORD000080,CUST03362,CAP148,REST047,النخيل,2025-01-24 09:37:00,41,17,غائم,خفيف,291.82,cancelled,9,Friday,0,0
ORD000081,CUST00279,CAP113,REST002,الملقا,2025-07-02 20:33:00,47,17,حار جداً,متوسط,283.0,delivered,20,Wednesday,1,0
ORD000082,CUST04111,CAP113,REST058,الربوة,2025-03-14 14:43:00,24,9,غائم,متوسط,282.72,cancelled,14,Friday,0,0
ORD000083,CUST00789,CAP094,REST057,المروج,2025-07-04 21:26:00,57,27,حار جداً,متوسط,68.78,delayed,21,Friday,1,1
ORD000084,CUST03362,CAP120,REST056,الورود,2026-05-14 13:50:00,82,36,حار جداً,متوسط,26.84,cancelled,13,Thursday,1,1
ORD000085,CUST03982,CAP032,REST026,الملقا,2025-11-22 20:29:00,67,15,عاصف,شديد الكثافة,24.99,delayed,20,Saturday,1,1
ORD000086,CUST04661,CAP035,REST068,الملقا,2026-05-18 19:36:00,57,31,غائم,شديد الكثافة,101.44,delayed,19,Monday,1,1
ORD000087,CUST00698,CAP038,REST008,النخيل,2026-03-09 12:07:00,53,10,عاصف,كثيف,156.65,delayed,12,Monday,1,1
ORD000088,CUST04271,CAP131,REST016,الورود,2025-03-01 19:25:00,47,26,غائم,خفيف,167.7,delivered,19,Saturday,1,0
ORD000089,CUST02976,CAP188,REST010,حطين,2025-04-20 17:41:00,46,12,صافي,كثيف,28.39,delivered,17,Sunday,0,0
ORD000090,CUST04093,CAP122,REST061,النخيل,2025-11-22 21:50:00,46,20,غائم,كثيف,276.57,delivered,21,Saturday,1,0
ORD000091,CUST00865,CAP028,REST057,المروج,2026-02-13 13:28:00,69,25,بارد,كثيف,103.34,delayed,13,Friday,1,1
ORD000092,CUST01647,CAP183,REST054,الملقا,2025-12-10 17:45:00,68,26,غائم,شديد الكثافة,218.72,delayed,17,Wednesday,0,1
ORD000093,CUST00941,CAP038,REST064,حطين,2025-05-15 22:57:00,52,28,غائم,شديد الكثافة,209.97,delayed,22,Thursday,0,1
ORD000094,CUST02222,CAP060,REST045,النخيل,2025-07-24 10:10:00,58,18,عاصف,متوسط,110.47,delayed,10,Thursday,0,1
ORD000095,CUST00763,CAP046,REST080,الملقا,2025-08-22 20:54:00,63,19,بارد,متوسط,215.68,delayed,20,Friday,1,1
ORD000096,CUST01411,CAP008,REST025,العليا,2025-01-28 19:57:00,59,34,حار جداً,خفيف,100.84,delayed,19,Tuesday,1,1
ORD000097,CUST04789,CAP159,REST075,المروج,2025-08-30 19:33:00,62,24,بارد,كثيف,156.89,delayed,19,Saturday,1,1
ORD000098,CUST02442,CAP168,REST038,المروج,2025-05-16 15:02:00,48,18,بارد,شديد الكثافة,75.37,delivered,15,Friday,0,0
ORD000099,CUST00563,CAP009,REST075,المروج,2025-04-11 07:32:00,58,25,صافي,شديد الكثافة,341.24,delayed,7,Friday,0,1
ORD000100,CUST04225,CAP099,REST019,النخيل,2025-03-27 07:30:00,24,5,صافي,كثيف,278.99,delivered,7,Thursday,0,0
ORD000101,CUST02139,CAP105,REST037,السليمانية,2026-05-07 16:39:00,41,26,حار جداً,خفيف,264.15,delivered,16,Thursday,0,0
ORD000102,CUST03494,CAP152,REST057,المروج,2025-11-13 15:16:00,44,23,صافي,كثيف,91.45,delivered,15,Thursday,0,0
ORD000103,CUST02394,CAP140,REST073,العليا,2025-09-03 08:57:00,70,36,غائم,متوسط,325.52,delayed,8,Wednesday,0,1
ORD000104,CUST02485,CAP195,REST034,حطين,2026-03-19 09:21:00,44,7,صافي,متوسط,286.12,delivered,9,Thursday,0,0
ORD000105,CUST01155,CAP014,REST067,حطين,2026-04-04 20:33:00,51,33,غائم,متوسط,90.19,delayed,20,Saturday,1,1
ORD000106,CUST02310,CAP071,REST001,الملقا,2025-09-21 13:48:00,74,31,حار جداً,متوسط,262.0,cancelled,13,Sunday,1,1
ORD000107,CUST04653,CAP085,REST008,النخيل,2025-12-23 23:29:00,41,13,عاصف,متوسط,69.75,delivered,23,Tuesday,0,0
ORD000108,CUST03429,CAP119,REST058,الربوة,2025-09-11 09:43:00,47,16,بارد,متوسط,70.37,delivered,9,Thursday,0,0
ORD000109,CUST03965,CAP152,REST003,النخيل,2026-03-06 15:16:00,34,19,بارد,خفيف,219.68,delivered,15,Friday,0,0
ORD000110,CUST02149,CAP115,REST023,الورود,2026-05-11 20:30:00,26,7,بارد,متوسط,241.59,delivered,20,Monday,1,0
ORD000111,CUST03109,CAP003,REST079,المروج,2026-02-05 11:35:00,60,16,عاصف,متوسط,304.4,delayed,11,Thursday,0,1
ORD000112,CUST04863,CAP004,REST004,الياسمين,2026-04-22 23:20:00,38,14,غائم,كثيف,277.85,delivered,23,Wednesday,0,0
ORD000113,CUST04458,CAP153,REST061,النخيل,2025-03-28 19:22:00,50,22,صافي,متوسط,17.01,delivered,19,Friday,1,0
ORD000114,CUST00608,CAP157,REST014,الورود,2026-04-18 13:12:00,44,27,حار جداً,خفيف,80.17,delivered,13,Saturday,1,0
ORD000115,CUST00306,CAP185,REST047,النخيل,2026-04-18 12:23:00,52,20,عاصف,متوسط,19.01,delayed,12,Saturday,1,1
ORD000116,CUST00364,CAP183,REST026,الملقا,2025-11-20 21:23:00,55,18,حار جداً,متوسط,322.7,delayed,21,Thursday,1,1
ORD000117,CUST04683,CAP174,REST039,السليمانية,2026-04-30 22:50:00,44,6,حار جداً,متوسط,50.62,delivered,22,Thursday,0,0
ORD000118,CUST04087,CAP139,REST002,الملقا,2026-03-06 11:23:00,29,19,صافي,خفيف,235.76,delivered,11,Friday,0,0
ORD000119,CUST04744,CAP080,REST062,الياسمين,2026-03-21 22:05:00,61,34,غائم,كثيف,60.86,cancelled,22,Saturday,0,1
ORD000120,CUST01172,CAP064,REST051,النخيل,2026-01-18 10:04:00,51,20,عاصف,خفيف,112.37,delayed,10,Sunday,0,1
ORD000121,CUST03206,CAP186,REST044,العليا,2025-05-28 08:25:00,26,6,غائم,خفيف,200.07,delivered,8,Wednesday,0,0
ORD000122,CUST00685,CAP095,REST032,المروج,2025-07-22 09:00:00,59,30,غائم,شديد الكثافة,70.6,delayed,9,Tuesday,0,1
ORD000123,CUST04844,CAP185,REST002,الملقا,2025-12-15 21:40:00,49,19,عاصف,متوسط,183.0,delivered,21,Monday,1,0
ORD000124,CUST03222,CAP075,REST047,النخيل,2026-05-21 12:15:00,77,25,عاصف,كثيف,127.09,delayed,12,Thursday,1,1
ORD000125,CUST01307,CAP103,REST060,النخيل,2026-04-24 16:45:00,53,9,صافي,شديد الكثافة,154.55,delayed,16,Friday,0,1
ORD000126,CUST01751,CAP011,REST029,السليمانية,2026-04-28 08:31:00,51,15,حار جداً,شديد الكثافة,114.12,delayed,8,Tuesday,0,1
ORD000127,CUST01113,CAP129,REST056,الورود,2025-04-25 23:40:00,78,39,عاصف,كثيف,100.39,delayed,23,Friday,0,1
ORD000128,CUST01609,CAP134,REST053,الملقا,2026-04-17 12:05:00,48,6,حار جداً,شديد الكثافة,18.16,delivered,12,Friday,1,0
ORD000129,CUST02864,CAP155,REST047,النخيل,2026-05-06 13:03:00,50,22,غائم,شديد الكثافة,31.11,cancelled,13,Wednesday,1,0
ORD000130,CUST02674,CAP162,REST023,الورود,2026-03-23 20:23:00,52,13,صافي,شديد الكثافة,140.96,delayed,20,Monday,1,1
ORD000131,CUST03968,CAP039,REST058,الربوة,2025-04-09 16:32:00,42,13,بارد,شديد الكثافة,136.7,delivered,16,Wednesday,0,0
ORD000132,CUST01325,CAP169,REST041,الشهداء,2025-12-03 20:15:00,53,11,حار جداً,كثيف,16.92,delayed,20,Wednesday,1,1
ORD000133,CUST01200,CAP096,REST013,النخيل,2025-12-13 21:50:00,53,12,صافي,متوسط,91.59,delayed,21,Saturday,1,1
ORD000134,CUST00383,CAP019,REST016,الورود,2025-02-03 17:22:00,45,19,غائم,شديد الكثافة,113.66,cancelled,17,Monday,0,0
ORD000135,CUST01493,CAP067,REST061,النخيل,2025-08-12 08:31:00,64,22,غائم,شديد الكثافة,106.53,delayed,8,Tuesday,0,1
ORD000136,CUST00136,CAP078,REST033,الياسمين,2025-06-19 15:49:00,61,26,غائم,خفيف,109.63,delayed,15,Thursday,0,1
ORD000137,CUST00634,CAP057,REST045,النخيل,2025-09-12 22:44:00,47,21,عاصف,متوسط,158.57,delivered,22,Friday,0,0
ORD000138,CUST04458,CAP091,REST070,الياسمين,2025-04-26 13:26:00,61,19,بارد,كثيف,301.05,delayed,13,Saturday,1,1
ORD000139,CUST02270,CAP141,REST031,الورود,2025-07-06 18:45:00,55,15,عاصف,شديد الكثافة,39.34,delayed,18,Sunday,0,1
ORD000140,CUST03008,CAP098,REST028,المروج,2025-12-20 08:53:00,55,23,صافي,كثيف,280.28,delayed,8,Saturday,0,1
ORD000141,CUST01051,CAP067,REST028,المروج,2025-07-09 18:08:00,46,24,صافي,كثيف,82.71,delivered,18,Wednesday,0,0
ORD000142,CUST04858,CAP157,REST001,الملقا,2025-04-18 12:41:00,74,33,حار جداً,كثيف,141.48,delayed,12,Friday,1,1
ORD000143,CUST04300,CAP004,REST034,حطين,2026-03-21 13:08:00,40,8,عاصف,شديد الكثافة,118.9,delivered,13,Saturday,1,0
ORD000144,CUST02552,CAP179,REST019,النخيل,2025-03-31 12:57:00,36,7,غائم,كثيف,116.46,delivered,12,Monday,1,0
ORD000145,CUST00383,CAP046,REST003,النخيل,2025-02-26 15:12:00,46,19,عاصف,كثيف,78.27,delivered,15,Wednesday,0,0
ORD000146,CUST01917,CAP185,REST052,العليا,2025-05-13 13:16:00,32,15,غائم,متوسط,345.47,delivered,13,Tuesday,1,0
ORD000147,CUST03003,CAP087,REST025,العليا,2025-09-25 13:58:00,93,38,بارد,شديد الكثافة,123.69,delayed,13,Thursday,1,1
ORD000148,CUST04006,CAP078,REST042,الورود,2026-03-09 17:20:00,53,13,حار جداً,خفيف,111.84,delayed,17,Monday,0,1
ORD000149,CUST02300,CAP074,REST015,الربوة,2026-05-19 19:23:00,55,11,غائم,كثيف,239.7,delayed,19,Tuesday,1,1
ORD000150,CUST04662,CAP007,REST023,الورود,2025-10-10 21:29:00,43,7,بارد,متوسط,78.54,delivered,21,Friday,1,0
ORD000151,CUST02623,CAP014,REST027,السليمانية,2025-09-28 11:49:00,47,20,حار جداً,شديد الكثافة,280.29,delivered,11,Sunday,0,0
ORD000152,CUST02642,CAP157,REST031,الورود,2026-01-16 16:29:00,48,20,غائم,شديد الكثافة,144.11,delivered,16,Friday,0,0
ORD000153,CUST02248,CAP170,REST069,النخيل,2026-02-19 09:59:00,35,18,غائم,كثيف,221.31,delivered,9,Thursday,0,0
ORD000154,CUST04973,CAP181,REST023,الورود,2025-02-10 21:10:00,30,5,حار جداً,متوسط,259.17,delivered,21,Monday,1,0
ORD000155,CUST02924,CAP033,REST020,الملقا,2025-10-19 20:16:00,65,28,عاصف,خفيف,248.87,delayed,20,Sunday,1,1
ORD000156,CUST00863,CAP140,REST027,السليمانية,2025-06-25 19:53:00,52,17,عاصف,خفيف,193.37,delayed,19,Wednesday,1,1
ORD000157,CUST02732,CAP189,REST027,السليمانية,2025-01-16 14:41:00,67,19,صافي,شديد الكثافة,160.61,delayed,14,Thursday,0,1
ORD000158,CUST03106,CAP104,REST038,المروج,2025-11-02 07:47:00,36,15,حار جداً,كثيف,144.94,delivered,7,Sunday,0,0
ORD000159,CUST04500,CAP053,REST056,الورود,2025-03-01 23:39:00,54,33,عاصف,متوسط,309.44,delayed,23,Saturday,0,1
ORD000160,CUST02705,CAP141,REST029,السليمانية,2026-04-09 09:23:00,28,17,بارد,متوسط,15.72,delivered,9,Thursday,0,0
ORD000161,CUST03685,CAP006,REST007,الياسمين,2026-02-21 15:59:00,71,21,عاصف,متوسط,30.33,cancelled,15,Saturday,0,1
ORD000162,CUST01283,CAP135,REST044,العليا,2025-12-22 19:25:00,41,7,غائم,متوسط,161.72,delivered,19,Monday,1,0
ORD000163,CUST04794,CAP072,REST042,الورود,2025-04-03 18:56:00,53,15,غائم,كثيف,331.93,delayed,18,Thursday,0,1
ORD000164,CUST04686,CAP190,REST007,الياسمين,2025-09-29 15:27:00,35,18,صافي,كثيف,336.18,delivered,15,Monday,0,0
ORD000165,CUST03761,CAP175,REST040,حطين,2026-03-21 09:12:00,45,11,عاصف,خفيف,349.8,delivered,9,Saturday,0,0
ORD000166,CUST03797,CAP183,REST037,السليمانية,2025-04-26 22:45:00,40,27,صافي,خفيف,102.62,delivered,22,Saturday,0,0
ORD000167,CUST02978,CAP023,REST056,الورود,2025-09-29 19:06:00,65,32,عاصف,متوسط,330.32,delayed,19,Monday,1,1
ORD000168,CUST03979,CAP138,REST013,النخيل,2025-11-05 19:14:00,40,10,عاصف,خفيف,336.77,delivered,19,Wednesday,1,0
ORD000169,CUST03206,CAP189,REST015,الربوة,2025-11-15 10:34:00,51,8,حار جداً,متوسط,272.83,delayed,10,Saturday,0,1
ORD000170,CUST04486,CAP046,REST003,النخيل,2025-01-13 07:43:00,50,19,صافي,خفيف,321.14,delivered,7,Monday,0,0
ORD000171,CUST04746,CAP034,REST065,السليمانية,2026-04-10 21:59:00,65,26,غائم,كثيف,212.32,delayed,21,Friday,1,1
ORD000172,CUST03170,CAP158,REST004,الياسمين,2025-09-26 23:38:00,58,19,حار جداً,كثيف,136.59,delayed,23,Friday,0,1
ORD000173,CUST00135,CAP186,REST010,حطين,2025-05-15 22:13:00,43,9,بارد,متوسط,264.71,delivered,22,Thursday,0,0
ORD000174,CUST01354,CAP072,REST047,النخيل,2025-12-18 17:06:00,56,20,غائم,شديد الكثافة,318.23,delayed,17,Thursday,0,1
ORD000175,CUST04953,CAP145,REST070,الياسمين,2025-05-16 10:33:00,49,21,عاصف,كثيف,119.2,delivered,10,Friday,0,0
ORD000176,CUST01394,CAP045,REST018,النخيل,2025-09-05 09:06:00,38,10,غائم,كثيف,46.49,delivered,9,Friday,0,0
ORD000177,CUST01859,CAP027,REST008,النخيل,2025-04-24 11:02:00,38,12,عاصف,متوسط,247.79,delivered,11,Thursday,0,0
ORD000178,CUST00802,CAP153,REST046,الورود,2025-06-04 08:20:00,73,26,عاصف,شديد الكثافة,90.53,delayed,8,Wednesday,0,1
ORD000179,CUST04916,CAP090,REST074,حطين,2025-02-21 17:12:00,72,37,حار جداً,شديد الكثافة,253.17,delayed,17,Friday,0,1
ORD000180,CUST00712,CAP001,REST028,المروج,2025-08-22 19:08:00,52,22,بارد,شديد الكثافة,128.9,delayed,19,Friday,1,1
ORD000181,CUST01126,CAP085,REST071,حطين,2026-04-25 20:13:00,53,11,عاصف,شديد الكثافة,237.29,delayed,20,Saturday,1,1
ORD000182,CUST01974,CAP182,REST021,حطين,2026-04-05 17:55:00,56,36,عاصف,خفيف,348.95,delayed,17,Sunday,0,1
ORD000183,CUST03770,CAP082,REST077,العليا,2026-05-18 18:58:00,43,15,حار جداً,خفيف,269.79,delivered,18,Monday,0,0
ORD000184,CUST04223,CAP135,REST009,النخيل,2025-05-30 15:22:00,40,7,عاصف,متوسط,127.25,delivered,15,Friday,0,0
ORD000185,CUST02249,CAP154,REST007,الياسمين,2025-11-27 13:05:00,69,23,حار جداً,متوسط,94.24,delayed,13,Thursday,1,1
ORD000186,CUST02655,CAP198,REST044,العليا,2025-01-25 19:22:00,43,10,صافي,كثيف,236.34,delivered,19,Saturday,1,0
ORD000187,CUST01599,CAP133,REST004,الياسمين,2025-02-07 11:11:00,75,22,عاصف,شديد الكثافة,332.19,delayed,11,Friday,0,1
ORD000188,CUST00783,CAP121,REST035,النخيل,2025-10-14 15:48:00,37,16,صافي,خفيف,213.58,delivered,15,Tuesday,0,0
ORD000189,CUST02068,CAP191,REST008,النخيل,2025-03-22 13:05:00,54,10,حار جداً,كثيف,149.48,delayed,13,Saturday,1,1
ORD000190,CUST00855,CAP181,REST044,العليا,2025-05-09 21:35:00,51,5,غائم,كثيف,211.02,delayed,21,Friday,1,1
ORD000191,CUST04202,CAP186,REST038,المروج,2026-01-04 22:32:00,53,16,حار جداً,كثيف,284.82,delayed,22,Sunday,0,1
